	County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
407	Catoosa	GA	375	10.6	5.9	10.8	3568.0	2233.0
408	Charlton	GA	14	19.0	11.9	9.8	1314.0	931.0
409	Chatham	GA	544	16.8	10.7	10.3	10951.0	6806.0
410	Chattahoochee	GA	59	14.5	8.1	16.4	2367.0	347.0
411	Chattooga	GA	85	14.6	11.1	11.0	3258.0	2762.0
412	Cherokee	GA	435	6.4	4.6	12.1	8121.0	2518.0
413	Clarke	GA	865	18.7	9.4	9.2	6806.0	3222.0
414	Clay	GA	17	24.5	7.1	0.0	601.0	497.0
415	Clayton	GA	1879	13.9	10.2	11.5	13391.0	4067.0
416	Clinch	GA	9	20.5	10.7	0.0	1167.0	756.0
417	Cobb	GA	1952	9.6	6.4	9.2	31600.0	9967.0
418	Coffee	GA	66	19.1	14.6	8.0	3212.0	1654.0
419	Colquitt	GA	80	19.6	12.7	12.0	3384.0	2241.0
420	Columbia	GA	358	6.8	5.9	11.0	6271.0	2689.0
421	Cook	GA	71	18.0	8.6	13.0	2349.0	1659.0
422	Coweta	GA	248	9.4	6.7	10.2	7499.0	3247.0
423	Crawford	GA	40	14.4	11.2	16.3	1310.0	896.0
424	Crisp	GA	80	23.1	14.8	11.5	3486.0	2486.0
425	Dade	GA	92	11.9	5.3	11.1	1888.0	1286.0
426	Dawson	GA	93	9.2	6.9	7.3	2347.0	976.0
427	Decatur	GA	48	20.9	10.8	9.4	2126.0	1527.0
428	DeKalb	GA	2528	13.2	9.2	9.7	32375.0	11887.0
429	Dodge	GA	39	18.1	8.2	12.0	2405.0	2159.0
430	Dooly	GA	30	21.1	9.4	13.5	1766.0	1193.0
431	Dougherty	GA	288	21.6	9.7	10.0	7864.0	4352.0
432	Douglas	GA	566	10.0	5.8	14.0	7237.0	3181.0
433	Early	GA	24	23.3	11.9	10.7	1864.0	1477.0
434	Echols	GA	11	19.3	0.0	0.0	193.0	211.0
435	Effingham	GA	98	9.9	8.9	14.2	2709.0	1331.0
436	Elbert	GA	56	16.1	6.7	13.4	2635.0	2334.0
437	Emanuel	GA	32	21.8	13.0	16.0	3242.0	2524.0
438	Evans	GA	62	20.6	10.0	14.6	1641.0	1115.0
439	Fannin	GA	57	13.2	10.8	17.9	2246.0	2278.0
440	Fayette	GA	529	5.2	4.6	8.3	4595.0	2759.0
441	Floyd	GA	184	15.0	8.1	13.9	6665.0	4948.0
442	Forsyth	GA	622	5.7	5.2	14.1	9882.0	2858.0
443	Franklin	GA	82	14.6	6.7	18.4	2616.0	2266.0
444	Fulton	GA	1732	16.2	8.7	8.7	40860.0	18471.0
445	Gilmer	GA	64	12.9	7.9	17.5	3130.0	1974.0
446	Glascock	GA	19	13.7	0.0	0.0	320.0	338.0
447	Glynn	GA	170	14.9	9.7	10.5	4849.0	3555.0
448	Gordon	GA	141	12.1	9.4	14.1	3932.0	1945.0
449	Grady	GA	53	19.0	12.8	14.9	3344.0	2482.0
450	Greene	GA	40	17.8	12.2	10.4	1986.0	1551.0
451	Gwinnett	GA	1678	8.2	6.5	9.6	34815.0	8012.0
452	Habersham	GA	142	12.1	7.6	13.2	2761.0	1713.0
453	Hall	GA	421	12.0	8.2	13.7	8676.0	3176.0
454	Hancock	GA	20	23.7	13.1	0.0	1281.0	1074.0
455	Haralson	GA	100	14.6	6.3	19.4	3448.0	2675.0
456	Harris	GA	60	8.4	9.5	18.7	2787.0	1934.0
457	Hart	GA	104	14.1	8.9	13.8	2472.0	2518.0
458	Heard	GA	38	14.8	19.5	15.2	1356.0	978.0
459	Henry	GA	520	6.6	7.5	14.7	11222.0	3854.0
460	Houston	GA	335	11.3	10.3	9.2	5027.0	2524.0
461	Irwin	GA	28	17.4	8.7	11.3	1155.0	1123.0
462	Jackson	GA	153	12.2	8.6	13.8	3717.0	1977.0
463	Jasper	GA	35	13.8	11.9	15.3	1306.0	1024.0
464	Jeff Davis	GA	39	17.7	11.3	13.8	2115.0	1355.0
465	Jefferson	GA	32	20.1	11.7	12.4	2765.0	2100.0
466	Jenkins	GA	25	21.9	6.3	0.0	1244.0	985.0
467	Johnson	GA	31	22.1	7.0	0.0	1278.0	999.0
468	Jones	GA	68	10.7	9.3	14.3	2598.0	1765.0
469	Lamar	GA	89	13.4	7.4	12.7	1957.0	1536.0
470	Lanier	GA	40	18.7	10.6	0.0	843.0	655.0
471	Laurens	GA	58	17.6	8.7	10.6	3332.0	2351.0
472	Lee	GA	87	9.1	6.4	11.4	2852.0	1105.0
473	Liberty	GA	111	15.1	10.7	12.3	7131.0	1355.0
474	Lincoln	GA	39	14.9	7.8	0.0	851.0	916.0
475	Long	GA	28	19.3	9.0	0.0	1579.0	553.0
476	Lowndes	GA	192	17.7	13.4	11.8	7606.0	3566.0
477	Lumpkin	GA	86	13.1	5.4	19.6	2406.0	1544.0
478	McDuffie	GA	84	17.5	13.2	9.1	3189.0	2310.0
479	McIntosh	GA	26	17.4	9.9	14.4	1478.0	1026.0
480	Macon	GA	34	21.0	13.1	11.2	2040.0	1569.0
481	Madison	GA	96	12.8	5.4	12.0	3461.0	2196.0
482	Marion	GA	20	20.0	18.8	0.0	995.0	714.0
483	Meriwether	GA	46	17.4	8.8	10.7	3064.0	2536.0
484	Miller	GA	22	19.0	10.8	0.0	832.0	768.0
485	Mitchell	GA	46	22.3	12.8	12.5	3354.0	2366.0
486	Monroe	GA	60	11.6	11.3	15.0	2597.0	1929.0
487	Montgomery	GA	36	18.4	7.8	0.0	1131.0	703.0
488	Morgan	GA	50	12.0	6.5	12.1	2048.0	1415.0
489	Murray	GA	118	12.8	5.1	10.0	2733.0	1266.0
490	Muscogee	GA	857	16.8	15.8	11.4	8901.0	5470.0
491	Newton	GA	314	11.2	6.6	12.1	6093.0	2583.0
492	Oconee	GA	160	7.1	8.0	8.5	2904.0	1500.0
493	Oglethorpe	GA	31	12.4	4.1	12.3	1345.0	1083.0
494	Paulding	GA	359	6.8	4.2	11.9	7693.0	2211.0
495	Peach	GA	164	18.8	11.2	13.0	3726.0	2011.0
496	Pickens	GA	123	10.2	7.4	13.4	2809.0	1969.0
497	Pierce	GA	50	16.5	6.3	12.2	2264.0	1586.0
498	Pike	GA	74	10.5	4.3	12.5	1765.0	1163.0
499	Polk	GA	130	14.6	7.1	17.4	3393.0	2178.0
500	Pulaski	GA	39	16.8	5.4	11.4	1223.0	1090.0
501	Putnam	GA	58	13.6	12.0	14.6	2273.0	1661.0
502	Quitman	GA	16	20.0	0.0	0.0	337.0	311.0
503	Rabun	GA	43	12.1	5.8	10.4	1713.0	1641.0
504	Randolph	GA	17	23.6	18.7	0.0	1124.0	1115.0
505	Richmond	GA	604	18.6	10.7	12.0	9606.0	5831.0
506	Rockdale	GA	601	10.9	3.2	10.3	5044.0	2540.0
507	Schley	GA	25	15.4	9.7	0.0	567.0	391.0
508	Screven	GA	24	18.5	13.2	12.4	1998.0	1706.0
509	Seminole	GA	39	20.8	10.9	0.0	1308.0	1068.0
510	Spalding	GA	310	16.3	12.3	15.5	4479.0	3067.0
511	Stephens	GA	140	15.6	4.6	14.7	1746.0	1570.0
512	Stewart	GA	11	21.2	15.9	0.0	651.0	724.0
513	Sumter	GA	68	20.8	8.5	8.1	2602.0	1747.0
514	Talbot	GA	17	18.1	10.8	0.0	802.0	843.0
515	Taliaferro	GA	9	21.4	0.0	0.0	224.0	265.0
516	Tattnall	GA	48	21.8	8.5	17.5	3183.0	2123.0
517	Taylor	GA	24	20.1	11.8	15.4	1237.0	1007.0
518	Telfair	GA	30	23.1	7.9	14.7	1576.0	1614.0
519	Terrell	GA	32	22.7	16.0	9.7	1751.0	1277.0
520	Thomas	GA	82	16.9	8.5	12.0	3172.0	2419.0
521	Tift	GA	154	18.1	8.9	12.0	3130.0	1750.0
522	Toombs	GA	74	21.1	6.9	10.2	2173.0	1431.0
523	Towns	GA	62	12.1	3.9	16.7	817.0	1136.0
524	Treutlen	GA	34	22.0	8.6	0.0	898.0	760.0
525	Troup	GA	150	15.2	9.1	13.2	4704.0	3279.0
526	Turner	GA	33	22.2	12.8	0.0	1492.0	1082.0
527	Twiggs	GA	29	16.5	11.6	18.4	1258.0	1053.0
528	Union	GA	61	12.8	9.5	12.5	1603.0	1983.0
529	Upson	GA	85	16.4	5.2	19.1	1718.0	1808.0
530	Walker	GA	143	14.1	10.0	10.3	3986.0	3500.0
531	Walton	GA	230	10.6	6.2	10.8	5194.0	2455.0
532	Ware	GA	38	18.9	7.4	15.0	2444.0	2131.0
533	Warren	GA	21	20.1	14.8	0.0	826.0	818.0
534	Washington	GA	30	19.5	11.0	12.2	2636.0	2163.0
535	Wayne	GA	44	17.5	10.8	11.7	1847.0	1288.0
536	Webster	GA	11	17.2	0.0	0.0	267.0	260.0
537	Wheeler	GA	23	24.0	3.2	0.0	690.0	588.0
538	White	GA	100	11.8	9.7	18.1	2420.0	1743.0
539	Whitfield	GA	313	12.1	6.7	12.2	8918.0	3541.0
540	Wilcox	GA	23	22.2	13.6	0.0	1134.0	896.0
541	Wilkes	GA	22	16.9	11.0	12.0	1308.0	1396.0
542	Wilkinson	GA	23	15.2	12.6	20.4	1599.0	1061.0
543	Worth	GA	39	17.4	6.4	11.2	2771.0	1952.0
544	Hawaii	HI	42	13.1	6.5	13.5	6349.0	3764.0
545	Honolulu	HI	1509	10.5	7.3	9.5	38506.0	18565.0
546	Kalawao	HI	8	0.0	0.0	0.0	41.0	25.0
547	Kauai	HI	101	10.5	4.5	11.2	3770.0	2218.0
548	Maui	HI	121	10.2	6.4	10.9	5473.0	2523.0
549	Ada	ID	327	9.3	5.9	14.8	14874.0	5752.0
550	Adams	ID	3	13.3	0.0	0.0	284.0	319.0
551	Bannock	ID	70	13.5	6.5	14.9	7026.0	2941.0
552	Bear Lake	ID	6	11.2	5.3	39.7	846.0	641.0
553	Benewah	ID	12	12.9	10.6	20.8	1155.0	930.0
554	Bingham	ID	21	12.9	4.5	19.1	3772.0	1432.0
555	Blaine	ID	8	6.3	7.9	18.2	2373.0	737.0
556	Boise	ID	4	10.0	4.6	0.0	712.0	319.0
557	Bonner	ID	24	13.4	7.9	18.3	1892.0	1617.0
558	Bonneville	ID	49	11.6	5.2	12.6	7509.0	2975.0
559	Boundary	ID	8	13.8	2.6	23.6	1262.0	811.0
560	Butte	ID	1	14.0	0.0	0.0	415.0	294.0
561	Camas	ID	1	7.4	0.0	0.0	98.0	49.0
562	Canyon	ID	279	13.5	6.5	12.0	8579.0	3025.0
563	Caribou	ID	4	10.0	8.6	23.6	1029.0	591.0
564	Cassia	ID	8	14.6	8.7	18.6	3841.0	1682.0
565	Clark	ID	1	16.1	0.0	0.0	165.0	67.0
566	Clearwater	ID	3	12.8	2.7	13.0	827.0	882.0
567	Custer	ID	1	12.0	0.0	0.0	430.0	357.0
568	Elmore	ID	9	11.7	7.2	12.7	5096.0	1438.0
569	Franklin	ID	19	9.7	8.1	0.0	2146.0	904.0
570	Fremont	ID	7	13.2	7.8	14.1	2008.0	870.0
571	Gem	ID	29	11.8	7.5	13.7	1906.0	1593.0
572	Gooding	ID	20	11.7	7.5	14.0	2188.0	1362.0
573	Idaho	ID	2	15.0	7.9	19.2	1583.0	1512.0
574	Jefferson	ID	20	11.0	8.0	15.4	3483.0	1190.0
575	Jerome	ID	33	12.9	7.8	17.4	3061.0	1403.0
576	Kootenai	ID	103	10.4	6.3	16.9	7493.0	4340.0
577	Latah	ID	32	14.0	6.2	10.8	2091.0	1073.0
578	Lemhi	ID	2	13.4	8.5	26.1	808.0	845.0
579	Lewis	ID	8	12.3	0.0	0.0	409.0	407.0
580	Lincoln	ID	4	11.1	3.6	0.0	600.0	332.0
581	Madison	ID	66	15.5	5.4	6.2	4881.0	1045.0
582	Minidoka	ID	25	13.3	10.4	15.2	3539.0	1659.0
583	Nez Perce	ID	45	11.8	8.0	25.5	2243.0	2089.0
584	Oneida	ID	4	10.3	0.0	0.0	552.0	368.0
585	Owyhee	ID	1	16.2	10.8	17.5	1734.0	783.0
586	Payette	ID	54	13.4	9.5	19.1	3026.0	1844.0
587	Power	ID	6	14.5	2.7	0.0	1227.0	501.0
588	Shoshone	ID	5	16.6	12.5	19.3	1554.0	1760.0
589	Teton	ID	17	9.0	8.8	18.3	1118.0	275.0
590	Twin Falls	ID	36	12.7	6.9	13.9	4918.0	3102.0
591	Valley	ID	2	9.7	3.0	24.2	742.0	592.0
592	Washington	ID	7	13.8	6.6	0.0	1340.0	1145.0
593	Adams	IL	78	11.2	6.6	9.8	4087.0	4194.0
594	Alexander	IL	38	22.2	13.1	12.6	1376.0	1296.0
595	Bond	IL	47	10.8	8.5	8.5	1959.0	1761.0
596	Boone	IL	179	7.7	5.5	7.0	3117.0	1514.0
597	Brown	IL	22	11.6	1.9	0.0	580.0	587.0
598	Bureau	IL	41	8.6	5.6	9.6	2142.0	2090.0
599	Calhoun	IL	20	8.6	0.0	0.0	493.0	656.0
600	Carroll	IL	36	9.8	11.0	13.0	1733.0	2066.0
601	Cass	IL	37	10.5	7.8	9.6	1843.0	1611.0
602	Champaign	IL	185	12.6	8.6	9.1	6883.0	3592.0
603	Christian	IL	50	10.5	6.6	15.5	1984.0	2164.0
604	Clark	IL	34	10.3	4.7	12.1	1939.0	2164.0
605	Clay	IL	30	11.8	5.0	9.5	1759.0	1892.0
606	Clinton	IL	76	7.4	5.6	13.2	1978.0	1649.0
607	Coles	IL	100	13.2	6.9	10.2	2904.0	2586.0
608	Cook	IL	5608	14.5	8.5	7.5	247949.0	134307.0
609	Crawford	IL	45	11.7	6.3	8.2	2144.0	2441.0
610	Cumberland	IL	32	10.1	6.0	12.5	1320.0	1227.0
611	DeKalb	IL	154	9.3	8.1	8.0	5686.0	3018.0
612	De Witt	IL	42	9.9	8.2	13.0	2060.0	1921.0
613	Douglas	IL	48	8.1	5.6	11.4	2925.0	2010.0
614	DuPage	IL	2785	5.9	6.6	7.3	39133.0	17092.0
615	Edgar	IL	31	11.6	8.7	12.4	2193.0	2565.0
616	Edwards	IL	31	9.2	8.9	0.0	745.0	872.0
617	Effingham	IL	72	8.9	8.7	8.4	2305.0	1677.0
618	Fayette	IL	30	13.1	6.1	10.7	2534.0	2499.0
619	Ford	IL	29	8.2	10.1	6.7	1752.0	2059.0
620	Franklin	IL	96	14.8	11.4	12.5	2375.0	2869.0
621	Fulton	IL	44	11.3	5.4	11.3	2052.0	2418.0
622	Gallatin	IL	19	15.8	5.0	0.0	676.0	916.0
623	Greene	IL	27	12.2	5.0	14.1	1794.0	1884.0
624	Grundy	IL	104	6.1	5.9	7.3	2553.0	1628.0
625	Hamilton	IL	19	12.2	7.5	0.0	909.0	1086.0
626	Hancock	IL	24	9.8	4.8	11.0	2163.0	2374.0
627	Hardin	IL	26	14.8	0.0	0.0	459.0	697.0
628	Henderson	IL	21	10.2	4.3	12.3	793.0	874.0
629	Henry	IL	61	8.3	8.1	10.5	2849.0	2711.0
630	Iroquois	IL	27	9.9	5.1	11.3	1773.0	1958.0
631	Jackson	IL	99	19.3	8.6	7.9	3372.0	2379.0
632	Jasper	IL	20	10.1	9.4	0.0	1192.0	1089.0
633	Jefferson	IL	71	13.7	5.9	9.5	2358.0	2104.0
634	Jersey	IL	61	8.4	5.6	14.0	2390.0	2251.0
635	Jo Daviess	IL	38	7.6	4.1	11.5	2433.0	2198.0
636	Johnson	IL	38	12.7	8.7	13.4	1140.0	1204.0
637	Kane	IL	926	7.4	6.5	8.4	24712.0	7572.0
638	Kankakee	IL	160	11.3	9.5	10.2	4620.0	3287.0
639	Kendall	IL	248	4.1	7.0	10.5	4870.0	1570.0
640	Knox	IL	74	12.7	7.1	10.9	3115.0	3540.0
641	Lake	IL	1570	6.9	5.0	7.6	31544.0	11514.0
642	La Salle	IL	99	10.2	5.7	9.4	4218.0	3756.0
643	Lawrence	IL	43	12.5	9.0	11.9	1617.0	2490.0
644	Lee	IL	49	8.8	6.5	15.2	1851.0	1956.0
645	Livingston	IL	38	9.7	7.1	9.3	2546.0	2061.0
646	Logan	IL	50	10.5	5.4	7.7	1668.0	1719.0
647	McDonough	IL	54	15.9	6.7	7.5	1484.0	1491.0
648	McHenry	IL	504	4.5	4.0	6.4	12521.0	4838.0
649	McLean	IL	134	9.4	9.2	9.8	6277.0	3202.0
650	Macon	IL	190	13.5	8.1	8.4	4296.0	3538.0
651	Macoupin	IL	57	10.3	6.1	12.7	2787.0	3027.0
652	Madison	IL	365	10.6	7.8	13.6	10077.0	7994.0
653	Marion	IL	70	13.6	6.6	18.7	2589.0	2598.0
654	Marshall	IL	34	7.9	8.6	0.0	1457.0	1659.0
655	Mason	IL	29	11.0	8.2	15.4	1916.0	1986.0
656	Massac	IL	64	13.2	3.5	14.5	1923.0	2216.0
657	Menard	IL	41	8.5	5.5	9.8	1395.0	1216.0
658	Mercer	IL	30	8.7	4.8	6.2	1848.0	1788.0
659	Monroe	IL	80	4.1	5.2	0.0	1737.0	1214.0
660	Montgomery	IL	43	12.5	1.8	22.8	1700.0	1863.0
661	Morgan	IL	63	11.7	6.3	8.0	2065.0	2064.0
662	Moultrie	IL	43	8.4	6.6	12.0	1854.0	2022.0
663	Ogle	IL	72	8.0	6.4	11.2	2973.0	2317.0
664	Peoria	IL	294	13.4	8.3	9.9	7793.0	5362.0
665	Perry	IL	52	13.3	5.5	14.7	2435.0	2580.0
666	Piatt	IL	38	6.1	6.1	0.0	1839.0	1547.0
667	Pike	IL	21	12.5	2.9	13.1	1917.0	2242.0
668	Pope	IL	11	14.0	0.0	0.0	400.0	466.0
669	Pulaski	IL	34	19.8	14.0	0.0	954.0	1058.0
670	Putnam	IL	38	6.5	8.4	0.0	668.0	542.0
671	Randolph	IL	57	11.4	11.7	14.4	1877.0	1948.0
672	Richland	IL	44	12.0	7.8	10.4	1993.0	1933.0
673	Rock Island	IL	346	11.6	6.0	11.7	5817.0	4418.0
674	St. Clair	IL	392	14.5	9.7	9.3	11014.0	7826.0
675	Saline	IL	68	15.0	11.2	12.1	1524.0	2097.0
676	Sangamon	IL	222	10.1	9.2	10.9	7586.0	5430.0
677	Schuyler	IL	16	9.5	5.5	15.3	803.0	949.0
678	Scott	IL	22	9.6	5.4	0.0	627.0	628.0
679	Shelby	IL	29	9.4	7.5	7.8	2566.0	2581.0
680	Stark	IL	21	9.2	8.9	17.8	759.0	876.0
681	Stephenson	IL	85	10.2	7.5	9.2	2950.0	2608.0
682	Tazewell	IL	200	8.1	7.1	15.4	4784.0	3804.0
683	Union	IL	44	13.7	4.7	12.5	2099.0	2528.0
684	Vermilion	IL	92	14.0	10.2	9.9	5681.0	4857.0
685	Wabash	IL	56	11.4	7.2	0.0	1389.0	1422.0
686	Warren	IL	32	11.0	3.7	8.3	2140.0	2133.0
687	Washington	IL	27	7.2	6.0	9.5	1640.0	1710.0
688	Wayne	IL	24	12.0	9.6	13.9	1948.0	2109.0
689	White	IL	31	12.0	1.4	10.4	1623.0	2348.0
690	Whiteside	IL	87	9.4	5.3	9.5	3750.0	3107.0
691	Will	IL	768	6.7	6.2	9.2	27088.0	9565.0
692	Williamson	IL	150	13.6	5.5	11.9	3628.0	3675.0
693	Winnebago	IL	562	12.3	8.5	10.1	11909.0	7470.0
694	Woodford	IL	71	6.0	7.5	7.1	2144.0	1719.0
695	Adams	IN	100	9.9	6.5	6.4	3081.0	1477.0
696	Allen	IN	523	10.2	7.2	13.2	15756.0	7927.0
697	Bartholomew	IN	181	8.3	7.7	12.7	5207.0	3155.0
698	Benton	IN	22	7.5	3.8	0.0	1411.0	960.0
699	Blackford	IN	84	9.2	10.2	10.2	1733.0	1536.0
700	Boone	IN	123	5.8	7.1	14.9	3218.0	2125.0
701	Brown	IN	49	8.2	6.9	12.6	1328.0	1239.0
702	Carroll	IN	55	7.5	4.1	13.5	2457.0	1754.0
703	Cass	IN	97	9.7	7.3	10.9	2874.0	2152.0
704	Clark	IN	271	9.4	6.1	11.5	6587.0	4855.0
705	Clay	IN	76	9.6	9.6	15.5	1776.0	1550.0
706	Clinton	IN	84	9.1	9.4	12.5	2668.0	1810.0
707	Crawford	IN	37	12.9	6.3	17.2	1245.0	1083.0
708	Daviess	IN	71	12.4	7.5	12.8	2414.0	1534.0
709	Dearborn	IN	161	6.8	7.4	11.6	3227.0	1891.0
710	Decatur	IN	68	9.0	10.9	8.0	1926.0	1145.0
711	De Kalb	IN	115	7.0	7.0	11.4	2877.0	1708.0
712	Delaware	IN	296	13.4	11.0	12.4	4015.0	3520.0
713	Dubois	IN	95	5.6	6.3	17.2	2684.0	1833.0
714	Elkhart	IN	421	9.5	7.5	8.5	9309.0	4252.0
715	Fayette	IN	116	10.4	7.6	12.7	1707.0	1537.0
716	Floyd	IN	486	9.2	5.3	10.6	4326.0	3460.0
717	Fountain	IN	44	9.3	10.0	12.2	2343.0	2121.0
718	Franklin	IN	60	8.0	8.8	10.4	2813.0	1754.0
719	Fulton	IN	56	9.5	11.8	11.5	2630.0	2149.0
720	Gibson	IN	68	8.1	6.6	12.7	1975.0	1734.0
721	Grant	IN	170	12.5	9.9	14.1	4325.0	4018.0
722	Greene	IN	62	10.9	9.9	12.6	1923.0	1777.0
723	Hamilton	IN	605	3.6	6.4	9.5	10229.0	2914.0
724	Hancock	IN	206	5.0	3.9	13.9	3872.0	2150.0
725	Harrison	IN	76	8.1	2.7	8.9	2222.0	1504.0
726	Hendricks	IN	312	4.6	5.3	10.3	7017.0	3510.0
727	Henry	IN	120	9.5	7.3	11.5	2863.0	2744.0
728	Howard	IN	290	10.3	7.2	10.1	5972.0	4477.0
729	Huntington	IN	100	7.6	4.1	7.2	2425.0	1917.0
730	Jackson	IN	83	8.8	5.0	10.0	2975.0	2071.0
731	Jasper	IN	57	7.4	4.0	8.7	1999.0	1276.0
732	Jay	IN	56	10.9	9.1	15.3	3191.0	2317.0
733	Jefferson	IN	90	10.3	7.2	14.2	1809.0	1563.0
734	Jennings	IN	75	9.8	6.6	9.5	1964.0	1222.0
735	Johnson	IN	401	7.0	5.9	10.5	4901.0	2976.0
736	Knox	IN	74	13.7	9.0	14.0	2223.0	2325.0
737	Kosciusko	IN	142	7.5	7.9	8.7	5567.0	3026.0
738	Lagrange	IN	97	7.9	6.2	10.7	3571.0	1104.0
739	Lake	IN	993	12.7	9.3	10.8	20729.0	14436.0
740	La Porte	IN	185	9.9	7.4	11.1	4066.0	3114.0
741	Lawrence	IN	103	9.7	10.5	12.1	2864.0	2414.0
742	Madison	IN	288	11.0	10.6	14.1	4909.0	4396.0
743	Marion	IN	2178	12.5	8.5	12.4	43869.0	22658.0
744	Marshall	IN	106	7.5	3.8	10.1	3417.0	2070.0
745	Martin	IN	31	9.9	6.1	10.6	1450.0	1071.0
746	Miami	IN	95	10.0	6.1	8.1	2286.0	1607.0
747	Monroe	IN	308	12.4	7.2	9.5	3747.0	2247.0
748	Montgomery	IN	76	9.2	5.7	16.2	2440.0	1870.0
749	Morgan	IN	172	7.8	6.4	13.1	4558.0	2720.0
750	Newton	IN	36	8.2	6.0	7.5	1636.0	1371.0
751	Noble	IN	115	8.1	8.0	12.5	3493.0	1915.0
752	Ohio	IN	68	7.0	3.6	0.0	611.0	555.0
753	Orange	IN	49	12.0	10.1	12.3	2534.0	2130.0
754	Owen	IN	59	10.3	6.0	12.3	2410.0	1907.0
755	Parke	IN	39	11.3	12.4	20.1	1780.0	1667.0
756	Perry	IN	50	9.4	11.0	12.7	2109.0	1921.0
757	Pike	IN	38	9.2	12.7	13.8	1500.0	1411.0
758	Porter	IN	377	6.8	8.0	14.2	5518.0	3482.0
759	Posey	IN	66	7.6	9.2	12.2	1300.0	1149.0
760	Pulaski	IN	32	9.5	10.5	14.4	1717.0	1450.0
761	Putnam	IN	77	9.1	5.8	12.0	2056.0	1542.0
762	Randolph	IN	59	10.9	8.9	10.3	1691.0	1435.0
763	Ripley	IN	62	8.1	1.5	12.3	1978.0	1234.0
764	Rush	IN	44	8.6	3.1	9.2	2511.0	1914.0
765	St. Joseph	IN	582	11.8	7.4	11.8	11339.0	7252.0
766	Scott	IN	125	11.8	5.7	12.3	3085.0	2339.0
767	Shelby	IN	106	8.5	8.9	12.8	2916.0	1909.0
768	Spencer	IN	51	7.6	6.7	9.4	2645.0	1816.0
769	Starke	IN	74	11.7	6.7	14.1	3014.0	2551.0
770	Steuben	IN	109	8.1	8.0	10.1	2130.0	1370.0
771	Sullivan	IN	49	11.8	8.8	20.4	2521.0	2603.0
772	Switzerland	IN	44	10.9	3.1	20.7	1064.0	930.0
773	Tippecanoe	IN	308	11.9	9.0	9.1	5871.0	2956.0
774	Tipton	IN	63	6.7	7.3	7.9	1993.0	1631.0
775	Union	IN	45	9.1	4.7	0.0	947.0	673.0
776	Vanderburgh	IN	738	11.8	9.4	16.0	6950.0	5647.0
777	Vermillion	IN	64	9.2	6.8	18.5	2130.0	2193.0
778	Vigo	IN	254	13.7	7.5	13.3	3860.0	3584.0
779	Wabash	IN	82	8.7	8.3	12.5	2050.0	1956.0
780	Warren	IN	24	7.2	5.9	14.6	939.0	886.0
781	Warrick	IN	147	5.8	4.3	10.2	3219.0	2245.0
782	Washington	IN	54	10.5	3.4	10.3	1742.0	1302.0
783	Wayne	IN	171	11.7	10.3	12.6	4446.0	4005.0
784	Wells	IN	76	6.8	3.5	8.8	1714.0	1293.0
785	White	IN	48	8.3	5.7	14.9	1766.0	1330.0
786	Whitley	IN	96	6.2	5.7	10.3	2115.0	1405.0
787	Adair	IA	14	8.5	3.1	0.0	738.0	1168.0
788	Adams	IA	10	9.8	0.0	0.0	438.0	612.0
789	Allamakee	IA	23	9.2	7.1	10.5	1717.0	1668.0
790	Appanoose	IA	28	13.6	4.3	11.7	1537.0	1801.0
791	Audubon	IA	15	8.5	3.4	0.0	673.0	936.0
792	Benton	IA	38	6.5	2.6	8.0	1532.0	1166.0
793	Black Hawk	IA	222	11.5	6.5	8.4	4748.0	3384.0
794	Boone	IA	47	7.6	6.5	10.7	1537.0	1454.0
795	Bremer	IA	54	6.3	3.3	13.0	2377.0	2235.0
796	Buchanan	IA	37	8.8	6.4	12.9	2980.0	2082.0
797	Buena Vista	IA	35	9.5	3.7	7.4	2420.0	2102.0
798	Butler	IA	26	7.9	4.2	10.6	1580.0	1951.0
799	Calhoun	IA	18	9.9	1.1	0.0	1037.0	1570.0
800	Carroll	IA	37	7.6	5.3	8.8	2546.0	2363.0
801	Cass	IA	25	10.4	4.3	11.1	1530.0	1979.0
802	Cedar	IA	31	5.8	3.4	12.9	1939.0	1779.0
803	Cerro Gordo	IA	79	9.0	4.7	11.1	2553.0	2604.0
804	Cherokee	IA	21	8.1	2.6	10.2	1306.0	1639.0
805	Chickasaw	IA	25	7.8	5.4	12.8	1461.0	1464.0
806	Clarke	IA	21	9.5	5.2	13.1	1039.0	981.0
807	Clay	IA	30	8.4	5.6	10.7	2004.0	1823.0
808	Clayton	IA	24	8.7	6.2	16.4	1987.0	2231.0
809	Clinton	IA	72	10.4	6.8	11.5	2957.0	2726.0
810	Crawford	IA	24	9.9	6.9	6.5	2055.0	1715.0
811	Dallas	IA	88	5.2	6.8	9.3	2793.0	1572.0
812	Davis	IA	17	11.3	5.8	0.0	1170.0	968.0
813	Decatur	IA	16	14.4	7.2	0.0	950.0	1041.0
814	Delaware	IA	31	8.2	7.2	8.1	2225.0	1562.0
815	Des Moines	IA	98	11.4	5.8	12.9	2572.0	2162.0
816	Dickinson	IA	44	6.5	6.2	13.2	1599.0	1831.0
817	Dubuque	IA	151	8.4	5.4	10.9	5934.0	4195.0
818	Emmet	IA	27	8.7	6.1	8.4	1259.0	1358.0
819	Fayette	IA	29	10.8	5.2	8.1	2432.0	2575.0
820	Floyd	IA	33	9.5	3.4	12.6	1926.0	2066.0
